path,bytes,sha256
.agents/skills/leakage-safe-feature-selection/SKILL.md,4168,4b61038dc28662d58783f02b2305274b152c2bcbe8935329521498b03efea79a
.gitignore,78,896ba966c956c41543fc6332dea5280ef678db2b79af8e37a391b49f13a8cfb7
AGENTS.md,8255,67e5de03a94f127fb3d7d98298efd123e8032fff1630efe3f1bd86dfeea82680
README.md,3855,76c561e519971d3f6636ac8119ba55ed7f8ee0328289cc022f221177eb434e6a
data/Demographics_24Aug2026.csv,1510519,03f75b835425f1d2b87d83c4c943e5e35bc8d0bc062a6843f05bad226b7fd690
data/Determination_of_Freezing_and_Falls_24Aug2026.csv,1959061,35fcf35da237bb1d26ae86136439dd9aa8ac533cb21366e9aa995e026a6629dd
data/Family_History_24Aug2026.csv,1849155,c23904d999450fa3215735e1ec5a3534db6e93cdb7e06f50efeb28b89df098f2
data/Geriatric_Depression_Scale__Short_Version__24Aug2026.csv,3040918,4d9745380eb757967df81b0398675fbcca1b020fe696aae2f89b6629ca93ecc7
data/Initiation_of_Dopaminergic_Therapy_24Aug2026.csv,811891,973b6827279c9809d18275330bf58f49964a51d6aec411b6c73a5e52fffa99f5
data/MDS-UPDRS_Part_III_24Aug2026.csv,12474543,da9720fddf3f1a421e40c415dac47c30ed50f0a967d91035a278e93a518877d2
data/MDS-UPDRS_Part_IV__Motor_Complications_24Aug2026.csv,1540864,d3c616de80a460d9e691e1faf860fce1b1c29ba947ee5d319eb2b50363a19249
data/MDS-UPDRS_Part_I_24Aug2026.csv,3643471,9878d095a9047368c9d52f3a3e538a50860afc06b7f168ade0f44054cf6c58c5
data/MDS-UPDRS_Part_I_Patient_Questionnaire_24Aug2026.csv,4381598,ead4e14e8c183ca572cea9a592e7c1150fd99054d79819138903816567bbf87c
data/Montreal_Cognitive_Assessment__MoCA__24Aug2026.csv,3857332,c07406da9195859ceaafc23958dd0de05fddc0a431dc691c5061db361373015a
data/Neuro_QoL__Lower_Extremity_Function__Mobility__-_Short_Form_24Aug2026.csv,1534669,60065bc0e5202b9dc9993e923ae177944ce10bee81c0702416d88c00544a7529
data/Other_Clinical_Features_24Aug2026.csv,5919100,18bb2ff57ca0954d389cf3f9d61a42217cb643ba19437a5e73238de94bf5cff8
data/PD_Diagnosis_History_24Aug2026.csv,267799,2f224dcb0042f0163e25be90f5506e8cc3466aa862ab04ca1f60a7997eaf120e
data/Participant_Status_24Aug2026.csv,1612173,e5e36695fe21d32e6c5f21617c3082d77c20965ca3ccd054b4ab06aaa7dadb40
data/README.md,2934,52cf8804bc8f155224eae9665aeb8d418dec3d3f71df33ba1423c7ed53375c34
data/SCOPA-AUT_24Aug2026.csv,5163149,16cae9a3fa875721e997abcb391e97cbfc6918dcfac653a14762a1fc71d9bb03
data/Vital_Signs_24Aug2026.csv,4142988,3bb6a683905de4d089fbcc1b3105ce1af5d7a1c9e02e353fb65f771fdb7b3de6
docs/current_state.md,5640,5b087d72453e1573207e4462295e805822f349c1dee3166e1c4eba9c08cb39e9
docs/decision_register.md,25740,5316c97a90176c87d56c652d79f38e12673706ba7cd53c145653688f7103c564
docs/final_run/final_aggregation_rules.md,23224,a814bb0b5641b71fe7e164020191731cb055e9f0c89f4fb0ddd7751561d2c51a
docs/final_run/final_data_cleaning.md,4322,7cc8f58eca48265ad362662fd0f5de55e5589a0562ed59ba157cfa25d43fbdc8
docs/final_run/final_evaluation_protocol.md,7466,cb89c6330e4f5a71df553384b82c597e714cea978999ec5476cf2edafd6e118d
docs/final_run/final_imputation_rules.md,11895,648be796229c7b42c7994ab83524a61f8974cc4e1e9d8a22efe40722aafed2d2
docs/final_run/final_results_report.md,24259,9ce797b10ae7b11f175b986e4ef37c53968d3204901f4b0f3d54cf4b63e0eca8
docs/final_run/final_run_plan.md,12046,96c0542bae96f50dfdbc8734ef6243890588fec3889fc7f544cd6d84faf36a85
docs/final_run/methodological_limitations.md,1818,e396b0529db418acf5da1e6edb98adefd70e8d79845c630ff5a9fbc9f68d236d
docs/research_protocol.md,30923,54bd6039612ec16e260e0eb6d40233443634678087261e09608b5f9b6e3301c6
llm_layer_handoff/clinical_feature_dictionary.csv,6503,d409b4e690fda6ad14a80c0317b28692211a0d65fe770167e8e2f0d91ca2a799
